site_id,cell_id,lon,lat
s147,20392,29.24344,-19.510268
s147,20393,29.24344,-19.510268
s147,20397,29.24344,-19.510268
s147,40531,29.24344,-19.510268
s147,40532,29.24344,-19.510268
s147,40533,29.24344,-19.510268
s148,20171,30.527757,-19.36332
s148,20172,30.527757,-19.36332
s148,20173,30.527757,-19.36332
s149,20201,30.142201999999997,-19.346698
s149,20202,30.142201999999997,-19.346698
s149,20203,30.142201999999997,-19.346698
s149,20204,30.142201999999997,-19.346698
s150,20631,29.701997,-20.20253
s150,20632,29.701997,-20.20253
s150,20633,29.701997,-20.20253
s150,40391,29.701997,-20.20253
s150,40392,29.701997,-20.20253
s151,22451,29.828142,-20.395775
s151,22452,29.828142,-20.395775
s151,22453,29.828142,-20.395775
s151,22454,29.828142,-20.395775
s151,22459,29.828142,-20.395775
s151,22456,29.828142,-20.395775
s151,22457,29.828142,-20.395775
s151,40451,29.828142,-20.395775
s151,40452,29.828142,-20.395775
s151,40453,29.828142,-20.395775
s152,12823,28.82621,-19.54983
s152,12826,28.82621,-19.54983
s152,12827,28.82621,-19.54983
s152,35561,28.82621,-19.54983
s152,35566,28.82621,-19.54983
s152,35560,28.82621,-19.54983
s152,35562,28.82621,-19.54983
s152,35567,28.82621,-19.54983
s152,35565,28.82621,-19.54983
s152,35563,28.82621,-19.54983
s152,35568,28.82621,-19.54983
s152,35569,28.82621,-19.54983
s153,22261,29.785193,-19.538472
s153,22262,29.785193,-19.538472
s153,22263,29.785193,-19.538472
s153,22268,29.785193,-19.538472
s153,40441,29.785193,-19.538472
s153,40442,29.785193,-19.538472
s153,40443,29.785193,-19.538472
s153,40446,29.785193,-19.538472
s153,40447,29.785193,-19.538472
s153,40448,29.785193,-19.538472
s154,14241,28.7125,-19.57854
s154,14242,28.7125,-19.57854
s154,34601,28.7125,-19.57854
s154,34606,28.7125,-19.57854
s154,34600,28.7125,-19.57854
s154,34602,28.7125,-19.57854
s154,34607,28.7125,-19.57854
s154,34605,28.7125,-19.57854
s155,20691,31.2462,-20.0076
s155,20692,31.2462,-20.0076
s155,20693,31.2462,-20.0076
s155,20694,31.2462,-20.0076
s156,20561,29.669372,-20.249928
s156,20562,29.669372,-20.249928
s156,20563,29.669372,-20.249928
s156,20564,29.669372,-20.249928
s156,40401,29.669372,-20.249928
s156,40402,29.669372,-20.249928
s157,21101,29.721595,-20.335592
s157,21102,29.721595,-20.335592
s157,21103,29.721595,-20.335592
s158,10162,28.771810000000002,-19.51889
s158,10163,28.771810000000002,-19.51889
s158,10166,28.771810000000002,-19.51889
s158,34891,28.771810000000002,-19.51889
s158,34896,28.771810000000002,-19.51889
s158,34890,28.771810000000002,-19.51889
s158,34892,28.771810000000002,-19.51889
s158,34897,28.771810000000002,-19.51889
s158,34895,28.771810000000002,-19.51889
s158,34893,28.771810000000002,-19.51889
s158,34898,28.771810000000002,-19.51889
s158,34899,28.771810000000002,-19.51889
s158,34894,28.771810000000002,-19.51889
s158,35159,28.771810000000002,-19.51889
s158,35154,28.771810000000002,-19.51889
s158,35770,28.771810000000002,-19.51889
s158,35771,28.771810000000002,-19.51889
s158,35772,28.771810000000002,-19.51889
s158,35775,28.771810000000002,-19.51889
s158,35776,28.771810000000002,-19.51889
s158,35777,28.771810000000002,-19.51889
s159,10001,28.781205,-19.519007000000002
s159,10007,28.781205,-19.519007000000002
s159,10008,28.781205,-19.519007000000002
s159,34171,28.781205,-19.519007000000002
s159,34176,28.781205,-19.519007000000002
s159,34170,28.781205,-19.519007000000002
s159,34172,28.781205,-19.519007000000002
s159,34177,28.781205,-19.519007000000002
s159,34175,28.781205,-19.519007000000002
s159,34173,28.781205,-19.519007000000002
s159,34178,28.781205,-19.519007000000002
s159,34179,28.781205,-19.519007000000002
s159,34174,28.781205,-19.519007000000002
s159,35299,28.781205,-19.519007000000002
s159,35294,28.781205,-19.519007000000002
s160,22251,29.566772999999998,-19.839425
s160,22252,29.566772999999998,-19.839425
s160,22253,29.566772999999998,-19.839425
s160,22254,29.566772999999998,-19.839425
